['15.94', '54.678345', '25.263103', '-35.75', '76.93', '19.97', '29.74', '28.10', '1003.62', '136.36', '1908']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.48', '28.25', '1003.32', '138.86', '2390']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.48', '28.25', '1003.32', '138.86', '2390']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.48', '28.25', '1003.32', '138.86', '2390']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.48', '28.25', '1003.32', '138.86', '2390']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.48', '28.25', '1003.32', '138.86', '2390']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.48', '28.25', '1003.32', '138.86', '2390']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.48', '28.25', '1003.32', '138.86', '2390']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.48', '28.25', '1003.32', '138.86', '2391']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.48', '28.25', '1003.32', '138.86', '2391']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.48', '28.25', '1003.32', '138.86', '2391']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.48', '28.25', '1003.32', '138.86', '2391']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.48', '28.25', '1003.32', '138.86', '2391']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.48', '28.25', '1003.32', '138.86', '2391']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.48', '28.25', '1003.32', '138.86', '2391']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.48', '28.25', '1003.32', '138.86', '2391']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.48', '28.25', '1003.32', '138.86', '2391']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.48', '28.25', '1003.32', '138.86', '2391']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.48', '28.25', '1003.32', '138.86', '2391']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.48', '28.25', '1003.32', '138.86', '2391']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.48', '28.25', '1003.32', '138.86', '2391']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.48', '28.25', '1003.32', '138.86', '2391']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.25', '1003.65', '136.13', '2392']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.25', '1003.65', '136.13', '2392']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.25', '1003.65', '136.13', '2392']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.25', '1003.65', '136.13', '2392']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.25', '1003.65', '136.13', '2392']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.25', '1003.65', '136.13', '2392']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.25', '1003.65', '136.13', '2392']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.25', '1003.65', '136.13', '2392']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.25', '1003.65', '136.13', '2392']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.25', '1003.65', '136.13', '2392']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.25', '1003.65', '136.13', '2392']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.25', '1003.65', '136.13', '2392']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.25', '1003.65', '136.13', '2393']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.25', '1003.65', '136.13', '2393']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.25', '1003.65', '136.13', '2393']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.25', '1003.65', '136.13', '2393']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.25', '1003.65', '136.13', '2393']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.25', '1003.65', '136.13', '2393']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.25', '1003.65', '136.13', '2393']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.25', '1003.65', '136.13', '2393']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.25', '1003.65', '136.13', '2393']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.25', '1003.65', '136.13', '2393']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.25', '1003.65', '136.13', '2393']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.25', '1003.65', '136.13', '2393']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.64', '28.25', '1003.65', '136.13', '2393']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.32', '28.27', '1003.09', '140.85', '2394']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.32', '28.27', '1003.09', '140.85', '2394']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.32', '28.27', '1003.09', '140.85', '2394']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.32', '28.27', '1003.09', '140.85', '2394']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.32', '28.27', '1003.09', '140.85', '2394']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.32', '28.27', '1003.09', '140.85', '2394']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.32', '28.27', '1003.09', '140.85', '2394']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.32', '28.27', '1003.09', '140.85', '2394']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.32', '28.27', '1003.09', '140.85', '2394']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.32', '28.27', '1003.09', '140.85', '2394']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.32', '28.27', '1003.09', '140.85', '2394']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.32', '28.27', '1003.09', '140.85', '2394']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.32', '28.27', '1003.09', '140.85', '2394']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.32', '28.27', '1003.09', '140.85', '2395']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.32', '28.27', '1003.09', '140.85', '2395']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.32', '28.27', '1003.09', '140.85', '2395']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.32', '28.27', '1003.09', '140.85', '2395']
['15.94', '54.678387', '25.263144', '-35.75', '76.93', '19.97', '29.32', '28.27', '1003.09', '140.85', '2395']
