['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.17', '30.99', '1004.57', '128.39', '7382']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.17', '30.99', '1004.57', '128.39', '7382']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.17', '30.99', '1004.57', '128.39', '7382']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.17', '30.99', '1004.57', '128.39', '7382']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.17', '30.99', '1004.57', '128.39', '7382']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.17', '30.99', '1004.57', '128.39', '7382']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.17', '30.99', '1004.57', '128.39', '7382']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.22', '31.02', '1004.61', '128.10', '7383']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.22', '31.02', '1004.61', '128.10', '7383']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.22', '31.02', '1004.61', '128.10', '7383']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.22', '31.02', '1004.61', '128.10', '7383']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.22', '31.02', '1004.61', '128.10', '7383']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.22', '31.02', '1004.61', '128.10', '7383']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.22', '31.02', '1004.61', '128.10', '7383']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.22', '31.02', '1004.61', '128.10', '7383']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.22', '31.02', '1004.61', '128.10', '7383']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.22', '31.02', '1004.61', '128.10', '7383']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.22', '31.02', '1004.61', '128.10', '7383']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.22', '31.02', '1004.61', '128.10', '7383']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.22', '31.02', '1004.61', '128.10', '7383']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.22', '31.02', '1004.61', '128.10', '7383']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.22', '31.02', '1004.61', '128.10', '7384']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.22', '31.02', '1004.61', '128.10', '7384']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.22', '31.02', '1004.61', '128.10', '7384']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.22', '31.02', '1004.61', '128.10', '7384']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.22', '31.02', '1004.61', '128.10', '7384']
