['0.00', '54.678009', '25.262587', '-121.72', '52.83', '-85.64', '25.81', '34.92', '1005.77', '118.38', '2527']
['0.00', '54.678017', '25.262587', '-121.72', '52.83', '-85.64', '25.81', '35.01', '1005.87', '117.49', '2539']
['0.00', '54.678024', '25.262587', '-121.72', '52.83', '-85.64', '25.81', '35.00', '1005.85', '117.73', '2551']
['0.00', '54.678032', '25.262590', '-121.72', '52.83', '-85.64', '25.76', '34.99', '1005.67', '119.21', '2563']
['0.00', '54.678040', '25.262594', '-121.72', '52.83', '-85.64', '25.81', '34.99', '1005.74', '118.63', '2575']
['0.00', '54.678047', '25.262596', '-121.72', '52.83', '-85.64', '25.77', '34.94', '1005.69', '119.06', '2587']
['0.00', '54.678059', '25.262598', '-121.72', '52.83', '-85.64', '25.82', '34.94', '1005.86', '117.57', '2599']
['0.00', '54.678070', '25.262600', '-121.74', '52.82', '-85.68', '25.87', '34.89', '1005.79', '118.16', '2611']
['0.00', '54.678078', '25.262602', '-121.74', '52.82', '-85.68', '25.37', '34.88', '1005.08', '124.15', '2623']
['0.00', '54.678082', '25.262602', '-121.74', '52.82', '-85.68', '25.83', '34.85', '1005.77', '118.34', '2635']
['0.00', '54.678085', '25.262602', '-121.74', '52.82', '-85.68', '25.83', '34.84', '1005.77', '118.40', '2647']
['0.00', '54.678093', '25.262604', '-121.74', '52.82', '-85.68', '25.88', '34.90', '1005.84', '117.76', '2659']
['0.00', '54.678097', '25.262604', '-121.74', '52.82', '-85.68', '25.84', '34.91', '1005.76', '118.43', '2671']
['0.00', '54.678101', '25.262606', '-121.74', '52.82', '-85.68', '25.38', '34.92', '1005.06', '124.27', '2683']
['0.00', '54.678104', '25.262606', '-121.74', '52.82', '-85.68', '25.83', '34.91', '1005.72', '118.75', '2695']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.89', '34.91', '1005.84', '117.77', '2704']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.89', '34.91', '1005.84', '117.77', '2705']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.89', '34.91', '1005.84', '117.77', '2705']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.89', '34.91', '1005.84', '117.77', '2705']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.89', '34.91', '1005.84', '117.77', '2705']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.89', '34.91', '1005.84', '117.77', '2705']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.89', '34.91', '1005.84', '117.77', '2705']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.89', '34.91', '1005.84', '117.77', '2705']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.89', '34.91', '1005.84', '117.77', '2705']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.89', '34.91', '1005.84', '117.77', '2705']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.89', '34.91', '1005.84', '117.77', '2705']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.89', '34.91', '1005.84', '117.77', '2705']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.89', '34.91', '1005.84', '117.77', '2705']
['0.00', '54.678104', '25.262606', '-121.74', '52.82', '-85.68', '25.39', '34.92', '1005.07', '124.20', '2706']
['0.00', '54.678104', '25.262606', '-121.74', '52.82', '-85.68', '25.39', '34.92', '1005.07', '124.20', '2706']
['0.00', '54.678104', '25.262606', '-121.74', '52.82', '-85.68', '25.39', '34.92', '1005.07', '124.20', '2706']
['0.00', '54.678104', '25.262606', '-121.74', '52.82', '-85.68', '25.39', '34.92', '1005.07', '124.20', '2706']
['0.00', '54.678104', '25.262606', '-121.74', '52.82', '-85.68', '25.39', '34.92', '1005.07', '124.20', '2706']
['0.00', '54.678104', '25.262606', '-121.74', '52.82', '-85.68', '25.39', '34.92', '1005.07', '124.20', '2706']
['0.00', '54.678104', '25.262606', '-121.74', '52.82', '-85.68', '25.39', '34.92', '1005.07', '124.20', '2706']
['0.00', '54.678104', '25.262606', '-121.74', '52.82', '-85.68', '25.39', '34.92', '1005.07', '124.20', '2706']
['0.00', '54.678104', '25.262606', '-121.74', '52.82', '-85.68', '25.39', '34.92', '1005.07', '124.20', '2706']
['0.00', '54.678104', '25.262606', '-121.74', '52.82', '-85.68', '25.39', '34.92', '1005.07', '124.20', '2706']
['0.00', '54.678104', '25.262606', '-121.74', '52.82', '-85.68', '25.39', '34.92', '1005.07', '124.20', '2706']
['0.00', '54.678104', '25.262606', '-121.74', '52.82', '-85.68', '25.39', '34.92', '1005.07', '124.20', '2706']
['0.00', '54.678104', '25.262606', '-121.74', '52.82', '-85.68', '25.39', '34.92', '1005.07', '124.20', '2707']
['0.00', '54.678104', '25.262606', '-121.74', '52.82', '-85.68', '25.39', '34.92', '1005.07', '124.20', '2707']
['0.00', '54.678104', '25.262606', '-121.74', '52.82', '-85.68', '25.39', '34.92', '1005.07', '124.20', '2707']
['0.00', '54.678104', '25.262606', '-121.74', '52.82', '-85.68', '25.39', '34.92', '1005.07', '124.20', '2707']
['0.00', '54.678104', '25.262606', '-121.74', '52.82', '-85.68', '25.39', '34.92', '1005.07', '124.20', '2707']
['0.00', '54.678104', '25.262606', '-121.74', '52.82', '-85.68', '25.39', '34.92', '1005.07', '124.20', '2707']
['0.00', '54.678104', '25.262606', '-121.74', '52.82', '-85.68', '25.39', '34.92', '1005.07', '124.20', '2707']
['0.00', '54.678104', '25.262606', '-121.74', '52.82', '-85.68', '25.39', '34.92', '1005.07', '124.20', '2707']
['0.00', '54.678104', '25.262606', '-121.74', '52.82', '-85.68', '25.39', '34.92', '1005.07', '124.20', '2707']
['0.00', '54.678104', '25.262606', '-121.74', '52.82', '-85.68', '25.39', '34.92', '1005.07', '124.20', '2707']
['0.00', '54.678104', '25.262606', '-121.74', '52.82', '-85.68', '25.39', '34.92', '1005.07', '124.20', '2707']
['0.00', '54.678108', '25.262608', '-121.74', '52.82', '-85.68', '25.39', '34.92', '1005.07', '124.20', '2708']
['0.00', '54.678108', '25.262608', '-121.74', '52.82', '-85.68', '25.39', '34.92', '1005.07', '124.20', '2708']
['0.00', '54.678108', '25.262608', '-121.74', '52.82', '-85.68', '25.39', '34.92', '1005.07', '124.20', '2708']
['0.00', '54.678108', '25.262608', '-121.74', '52.82', '-85.68', '25.39', '34.92', '1005.07', '124.20', '2708']
['0.00', '54.678108', '25.262608', '-121.74', '52.82', '-85.68', '25.39', '34.92', '1005.07', '124.20', '2708']
['0.00', '54.678108', '25.262608', '-121.74', '52.82', '-85.68', '25.39', '34.92', '1005.07', '124.20', '2708']
['0.00', '54.678108', '25.262608', '-121.74', '52.82', '-85.68', '25.39', '34.92', '1005.07', '124.20', '2708']
['0.00', '54.678108', '25.262608', '-121.74', '52.82', '-85.68', '25.39', '34.92', '1005.07', '124.20', '2708']
['0.00', '54.678108', '25.262608', '-121.74', '52.82', '-85.68', '25.39', '34.92', '1005.07', '124.20', '2708']
['0.00', '54.678108', '25.262608', '-121.74', '52.82', '-85.68', '25.39', '34.92', '1005.07', '124.20', '2708']
['0.00', '54.678108', '25.262608', '-121.74', '52.82', '-85.68', '25.39', '34.92', '1005.07', '124.20', '2708']
['0.00', '54.678108', '25.262608', '-121.74', '52.82', '-85.68', '25.79', '35.00', '1005.84', '117.75', '2709']
['0.00', '54.678108', '25.262608', '-121.74', '52.82', '-85.68', '25.79', '35.00', '1005.84', '117.75', '2709']
['0.00', '54.678108', '25.262608', '-121.74', '52.82', '-85.68', '25.79', '35.00', '1005.84', '117.75', '2709']
['0.00', '54.678108', '25.262608', '-121.74', '52.82', '-85.68', '25.79', '35.00', '1005.84', '117.75', '2709']
['0.00', '54.678108', '25.262608', '-121.74', '52.82', '-85.68', '25.79', '35.00', '1005.84', '117.75', '2709']
['0.00', '54.678108', '25.262608', '-121.74', '52.82', '-85.68', '25.79', '35.00', '1005.84', '117.75', '2709']
['0.00', '54.678108', '25.262608', '-121.74', '52.82', '-85.68', '25.79', '35.00', '1005.84', '117.75', '2709']
['0.00', '54.678108', '25.262608', '-121.74', '52.82', '-85.68', '25.79', '35.00', '1005.84', '117.75', '2709']
['0.00', '54.678108', '25.262608', '-121.74', '52.82', '-85.68', '25.79', '35.00', '1005.84', '117.75', '2709']
['0.00', '54.678108', '25.262608', '-121.74', '52.82', '-85.68', '25.79', '35.00', '1005.84', '117.75', '2709']
['0.00', '54.678108', '25.262608', '-121.74', '52.82', '-85.68', '25.79', '35.00', '1005.84', '117.75', '2709']
['0.00', '54.678108', '25.262608', '-121.74', '52.82', '-85.68', '25.79', '35.00', '1005.84', '117.75', '2709']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.79', '35.00', '1005.84', '117.75', '2710']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.79', '35.00', '1005.84', '117.75', '2710']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.79', '35.00', '1005.84', '117.75', '2710']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.79', '35.00', '1005.84', '117.75', '2710']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.79', '35.00', '1005.84', '117.75', '2710']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.79', '35.00', '1005.84', '117.75', '2710']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.79', '35.00', '1005.84', '117.75', '2710']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.79', '35.00', '1005.84', '117.75', '2710']
