['0.00', '54.678065', '25.263462', '41.31', '-16.49', '66.27', '30.22', '27.29', '996.53', '228.83', '4.77', '0.00', '0.00']
['0.00', '54.678064', '25.263463', '41.31', '-16.49', '66.27', '30.22', '27.29', '996.53', '228.83', '4.77', '0.00', '0.00']
['0.00', '54.678064', '25.263463', '41.31', '-16.49', '66.27', '30.22', '27.29', '996.53', '228.83', '4.77', '0.00', '0.00']
['0.00', '54.678064', '25.263463', '41.31', '-16.49', '66.27', '30.22', '27.29', '996.53', '228.83', '4.77', '0.00', '0.00']
['0.00', '54.678064', '25.263463', '41.31', '-16.49', '66.27', '30.22', '27.29', '996.53', '228.83', '4.77', '0.00', '0.00']
['0.00', '54.678064', '25.263463', '41.31', '-16.49', '66.27', '30.22', '27.29', '996.53', '228.83', '4.77', '0.00', '0.00']
['0.00', '54.678064', '25.263463', '41.31', '-16.49', '66.27', '30.22', '27.29', '996.53', '228.83', '4.77', '0.00', '0.00']
['0.00', '54.678064', '25.263463', '41.31', '-16.49', '66.27', '30.22', '27.29', '996.53', '228.83', '4.77', '0.00', '0.00']
['0.00', '54.678064', '25.263463', '41.31', '-16.49', '66.27', '30.22', '27.29', '996.53', '228.83', '4.77', '0.00', '0.00']
['0.00', '54.678064', '25.263463', '41.31', '-16.49', '66.27', '30.22', '27.29', '996.53', '228.83', '4.77', '0.00', '0.00']
['0.00', '54.678064', '25.263463', '41.31', '-16.49', '66.27', '30.22', '27.29', '996.53', '228.83', '4.77', '0.00', '0.00']
['0.00', '54.678064', '25.263463', '41.31', '-16.49', '66.27', '30.22', '27.29', '996.53', '228.83', '4.77', '0.00', '0.00']
['0.00', '54.678064', '25.263463', '41.31', '-16.49', '66.27', '30.22', '27.29', '996.53', '228.83', '4.77', '0.00', '0.00']
['0.00', '54.678062', '25.263465', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.56', '228.55', '4.50', '0.00', '0.00']
['0.00', '54.678062', '25.263465', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.56', '228.55', '4.50', '0.00', '0.00']
['0.00', '54.678062', '25.263465', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.56', '228.55', '4.50', '0.00', '0.00']
['0.00', '54.678062', '25.263465', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.56', '228.55', '4.50', '0.00', '0.00']
['0.00', '54.678062', '25.263465', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.56', '228.55', '4.50', '0.00', '0.00']
['0.00', '54.678062', '25.263465', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.56', '228.55', '4.50', '0.00', '0.00']
['0.00', '54.678062', '25.263465', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.56', '228.55', '4.50', '0.00', '0.00']
['0.00', '54.678062', '25.263465', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.56', '228.55', '4.50', '0.00', '0.00']
['0.00', '54.678062', '25.263465', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.56', '228.55', '4.50', '0.00', '0.00']
['0.00', '54.678062', '25.263465', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.56', '228.55', '4.50', '0.00', '0.00']
['0.00', '54.678062', '25.263465', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.56', '228.55', '4.50', '0.00', '0.00']
['0.00', '54.678062', '25.263465', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.56', '228.55', '4.50', '0.00', '0.00']
