['0.00', '54.582165', '25.042210', '-45.17', '-14.83', '1.13', '25.78', '33.09', '1006.72', '110.43', '572']
['0.00', '54.582165', '25.042210', '-45.17', '-14.83', '1.13', '25.78', '33.09', '1006.72', '110.43', '572']
['0.00', '54.582165', '25.042208', '-45.17', '-14.83', '1.13', '25.78', '33.09', '1006.72', '110.43', '573']
['0.00', '54.582165', '25.042208', '-45.17', '-14.83', '1.13', '25.78', '33.09', '1006.72', '110.43', '573']
['0.00', '54.582165', '25.042208', '-45.17', '-14.83', '1.13', '25.78', '33.09', '1006.72', '110.43', '573']
['0.00', '54.582165', '25.042208', '-45.17', '-14.83', '1.13', '25.78', '33.09', '1006.72', '110.43', '573']
['0.00', '54.582165', '25.042208', '-45.17', '-14.83', '1.13', '25.78', '33.09', '1006.72', '110.43', '573']
['0.00', '54.582165', '25.042208', '-45.17', '-14.83', '1.13', '25.78', '33.09', '1006.72', '110.43', '573']
['0.00', '54.582165', '25.042208', '-45.17', '-14.83', '1.13', '25.78', '33.09', '1006.72', '110.43', '573']
['0.00', '54.582165', '25.042208', '-45.17', '-14.83', '1.13', '25.78', '33.09', '1006.72', '110.43', '573']
['0.00', '54.582165', '25.042208', '-45.17', '-14.83', '1.13', '25.78', '33.09', '1006.72', '110.43', '573']
['0.00', '54.582165', '25.042208', '-45.17', '-14.83', '1.13', '25.78', '33.09', '1006.72', '110.43', '573']
['0.00', '54.582165', '25.042208', '-45.17', '-14.83', '1.13', '25.78', '33.09', '1006.72', '110.43', '573']
['0.00', '54.582165', '25.042208', '-45.17', '-14.83', '1.13', '25.78', '33.09', '1006.72', '110.43', '573']
['0.00', '54.582165', '25.042208', '-45.17', '-14.83', '1.13', '25.78', '33.09', '1006.72', '110.43', '573']
['0.00', '54.582165', '25.042208', '-45.17', '-14.83', '1.13', '25.78', '33.09', '1006.72', '110.43', '573']
['0.00', '54.582165', '25.042208', '-47.18', '-17.43', '4.59', '25.73', '32.66', '1006.65', '111.02', '574']
['0.00', '54.582165', '25.042208', '-47.18', '-17.43', '4.59', '25.73', '32.66', '1006.65', '111.02', '574']
['0.00', '54.582165', '25.042208', '-47.18', '-17.43', '4.59', '25.73', '32.66', '1006.65', '111.02', '574']
['0.00', '54.582165', '25.042208', '-47.18', '-17.43', '4.59', '25.73', '32.66', '1006.65', '111.02', '574']
['0.00', '54.582165', '25.042208', '-47.18', '-17.43', '4.59', '25.73', '32.66', '1006.65', '111.02', '574']
['0.00', '54.582165', '25.042208', '-47.18', '-17.43', '4.59', '25.73', '32.66', '1006.65', '111.02', '574']
['0.00', '54.582165', '25.042208', '-47.18', '-17.43', '4.59', '25.73', '32.66', '1006.65', '111.02', '574']
['0.00', '54.582165', '25.042208', '-47.18', '-17.43', '4.59', '25.73', '32.66', '1006.65', '111.02', '574']
['0.00', '54.582165', '25.042208', '-47.18', '-17.43', '4.59', '25.73', '32.66', '1006.65', '111.02', '574']
['0.00', '54.582165', '25.042208', '-47.18', '-17.43', '4.59', '25.73', '32.66', '1006.65', '111.02', '575']
['0.00', '54.582165', '25.042208', '-47.18', '-17.43', '4.59', '25.73', '32.66', '1006.65', '111.02', '575']
['0.00', '54.582165', '25.042208', '-47.18', '-17.43', '4.59', '25.73', '32.66', '1006.65', '111.02', '575']
['0.00', '54.582165', '25.042208', '-47.18', '-17.43', '4.59', '25.73', '32.66', '1006.65', '111.02', '575']
['0.00', '54.582165', '25.042208', '-47.18', '-17.43', '4.59', '25.73', '32.66', '1006.65', '111.02', '575']
['0.00', '54.582165', '25.042208', '-47.18', '-17.43', '4.59', '25.73', '32.66', '1006.65', '111.02', '575']
['0.00', '54.582165', '25.042208', '-47.18', '-17.43', '4.59', '25.73', '32.66', '1006.65', '111.02', '575']
['0.00', '54.582165', '25.042208', '-47.18', '-17.43', '4.59', '25.73', '32.66', '1006.65', '111.02', '575']
['0.00', '54.582165', '25.042208', '-47.18', '-17.43', '4.59', '25.73', '32.66', '1006.65', '111.02', '575']
['0.00', '54.582165', '25.042208', '-47.18', '-17.43', '4.59', '25.73', '32.66', '1006.65', '111.02', '575']
['0.00', '54.582165', '25.042208', '-47.18', '-17.43', '4.59', '25.73', '32.66', '1006.65', '111.02', '575']
['0.00', '54.582165', '25.042208', '-47.18', '-17.43', '4.59', '25.73', '32.66', '1006.65', '111.02', '576']
['0.00', '54.582165', '25.042208', '-47.18', '-17.43', '4.59', '25.73', '32.66', '1006.65', '111.02', '576']
['0.00', '54.582165', '25.042208', '-47.18', '-17.43', '4.59', '25.73', '32.66', '1006.65', '111.02', '576']
['0.00', '54.582165', '25.042208', '-47.18', '-17.43', '4.59', '25.73', '32.66', '1006.65', '111.02', '576']
['0.00', '54.582165', '25.042208', '-47.18', '-17.43', '4.59', '25.73', '32.66', '1006.65', '111.02', '576']
['0.00', '54.582165', '25.042208', '-47.18', '-17.43', '4.59', '25.73', '32.66', '1006.65', '111.02', '576']
['0.00', '54.582165', '25.042208', '-47.18', '-17.43', '4.59', '25.73', '32.66', '1006.65', '111.02', '576']
['0.00', '54.582165', '25.042208', '-47.18', '-17.43', '4.59', '25.73', '32.66', '1006.65', '111.02', '576']
['0.00', '54.582165', '25.042208', '-47.18', '-17.43', '4.59', '25.73', '32.66', '1006.65', '111.02', '576']
['0.00', '54.582165', '25.042208', '-47.18', '-17.43', '4.59', '25.73', '32.66', '1006.65', '111.02', '576']
['0.00', '54.582165', '25.042208', '-47.18', '-17.43', '4.59', '25.73', '32.66', '1006.65', '111.02', '576']
['0.00', '54.582165', '25.042208', '-49.54', '-14.29', '2.98', '25.76', '32.08', '1006.71', '110.53', '577']
['0.00', '54.582165', '25.042208', '-49.54', '-14.29', '2.98', '25.76', '32.08', '1006.71', '110.53', '577']
['0.00', '54.582165', '25.042208', '-49.54', '-14.29', '2.98', '25.76', '32.08', '1006.71', '110.53', '577']
['0.00', '54.582165', '25.042208', '-49.54', '-14.29', '2.98', '25.76', '32.08', '1006.71', '110.53', '577']
['0.00', '54.582165', '25.042208', '-49.54', '-14.29', '2.98', '25.76', '32.08', '1006.71', '110.53', '577']
['0.00', '54.582165', '25.042208', '-49.54', '-14.29', '2.98', '25.76', '32.08', '1006.71', '110.53', '577']
['0.00', '54.582165', '25.042208', '-49.54', '-14.29', '2.98', '25.76', '32.08', '1006.71', '110.53', '577']
['0.00', '54.582165', '25.042208', '-49.54', '-14.29', '2.98', '25.76', '32.08', '1006.71', '110.53', '577']
['0.00', '54.582165', '25.042208', '-49.54', '-14.29', '2.98', '25.76', '32.08', '1006.71', '110.53', '577']
['0.00', '54.582165', '25.042208', '-49.54', '-14.29', '2.98', '25.76', '32.08', '1006.71', '110.53', '577']
['0.00', '54.582165', '25.042208', '-49.54', '-14.29', '2.98', '25.76', '32.08', '1006.71', '110.53', '577']
['0.00', '54.582169', '25.042208', '-49.54', '-14.29', '2.98', '25.76', '32.08', '1006.71', '110.53', '578']
['0.00', '54.582169', '25.042208', '-49.54', '-14.29', '2.98', '25.76', '32.08', '1006.71', '110.53', '578']
['0.00', '54.582169', '25.042208', '-49.54', '-14.29', '2.98', '25.76', '32.08', '1006.71', '110.53', '578']
['0.00', '54.582169', '25.042208', '-49.54', '-14.29', '2.98', '25.76', '32.08', '1006.71', '110.53', '578']
['0.00', '54.582169', '25.042208', '-49.54', '-14.29', '2.98', '25.76', '32.08', '1006.71', '110.53', '578']
['0.00', '54.582169', '25.042208', '-49.54', '-14.29', '2.98', '25.76', '32.08', '1006.71', '110.53', '578']
['0.00', '54.582169', '25.042208', '-49.54', '-14.29', '2.98', '25.76', '32.08', '1006.71', '110.53', '578']
['0.00', '54.582169', '25.042208', '-49.54', '-14.29', '2.98', '25.76', '32.08', '1006.71', '110.53', '578']
['0.00', '54.582169', '25.042208', '-49.54', '-14.29', '2.98', '25.76', '32.08', '1006.71', '110.53', '578']
['0.00', '54.582169', '25.042208', '-49.54', '-14.29', '2.98', '25.76', '32.08', '1006.71', '110.53', '578']
