['5.31', '54.678356', '25.263165', '-27.37', '26.47', '34.69', '991.88', '36867']
['5.31', '54.678356', '25.263165', '-27.37', '26.47', '34.69', '991.88', '36867']
['5.31', '54.678356', '25.263163', '-27.37', '26.51', '34.59', '991.45', '36868']
['5.31', '54.678356', '25.263163', '-27.37', '26.51', '34.59', '991.45', '36868']
['5.31', '54.678356', '25.263165', '-27.37', '26.51', '34.59', '991.45', '36869']
['5.31', '54.678356', '25.263165', '-27.37', '26.51', '34.59', '991.45', '36870']
['5.31', '54.678356', '25.263165', '-27.37', '26.51', '34.59', '991.45', '36870']
['5.31', '54.678360', '25.263165', '-27.37', '26.57', '34.68', '992.05', '36871']
['5.31', '54.678360', '25.263165', '-27.37', '26.57', '34.68', '992.05', '36872']
['5.31', '54.678360', '25.263165', '-27.37', '26.57', '34.68', '992.05', '36872']
['5.31', '54.678360', '25.263165', '-27.37', '26.52', '34.69', '992.04', '36873']
['5.31', '54.678360', '25.263165', '-27.37', '26.52', '34.69', '992.04', '36873']
['5.31', '54.678360', '25.263165', '-27.37', '26.52', '34.69', '992.04', '36874']
['5.31', '54.678360', '25.263166', '-27.37', '26.52', '34.69', '992.04', '36875']
['5.31', '54.678360', '25.263166', '-27.37', '26.52', '34.69', '992.04', '36875']
['5.31', '54.678360', '25.263165', '-27.37', '26.51', '34.76', '992.04', '36876']
['5.31', '54.678364', '25.263166', '-27.37', '26.51', '34.76', '992.04', '36877']
['5.31', '54.678364', '25.263166', '-27.37', '26.51', '34.76', '992.04', '36877']
['5.31', '54.678364', '25.263166', '-27.35', '26.51', '34.69', '991.96', '36878']
['5.31', '54.678364', '25.263166', '-27.35', '26.51', '34.69', '991.96', '36878']
['5.31', '54.678364', '25.263166', '-27.35', '26.51', '34.69', '991.96', '36879']
['5.31', '54.678364', '25.263168', '-27.35', '26.51', '34.69', '991.96', '36880']
['5.31', '54.678364', '25.263168', '-27.35', '26.51', '34.69', '991.96', '36880']
['5.31', '54.678364', '25.263170', '-27.34', '26.51', '34.69', '991.95', '36881']
['5.31', '54.678364', '25.263168', '-27.34', '26.51', '34.69', '991.95', '36882']
['5.31', '54.678364', '25.263168', '-27.34', '26.51', '34.69', '991.95', '36882']
['5.31', '54.678364', '25.263168', '-27.34', '26.51', '34.69', '991.95', '36883']
['5.31', '54.678364', '25.263168', '-27.37', '26.56', '34.69', '992.03', '36884']
['5.31', '54.678364', '25.263168', '-27.37', '26.56', '34.69', '992.03', '36884']
['5.31', '54.678364', '25.263168', '-27.37', '26.56', '34.69', '992.03', '36885']
['5.31', '54.678364', '25.263168', '-27.37', '26.51', '34.69', '992.02', '36886']
['5.31', '54.678364', '25.263168', '-27.37', '26.51', '34.69', '992.02', '36886']
['5.31', '54.678364', '25.263168', '-27.37', '26.51', '34.69', '992.02', '36887']
['5.31', '54.678364', '25.263168', '-27.37', '26.51', '34.69', '992.02', '36888']
['5.31', '54.678364', '25.263168', '-27.37', '26.51', '34.69', '992.02', '36888']
['5.31', '54.678364', '25.263168', '-27.37', '26.47', '34.62', '991.95', '36889']
['5.31', '54.678364', '25.263168', '-27.37', '26.47', '34.62', '991.95', '36889']
['5.31', '54.678364', '25.263168', '-27.37', '26.47', '34.62', '991.95', '36890']
