['0.00', '0.000000', '0.000000', '-69.42', '-0.43', '5.37', '25.44', '40.67', '993.95', '613']
['0.00', '0.000000', '0.000000', '-69.42', '-0.43', '5.37', '25.44', '40.67', '993.95', '613']
['0.00', '0.000000', '0.000000', '-69.42', '-0.43', '5.37', '25.44', '40.67', '993.95', '613']
['0.00', '0.000000', '0.000000', '-69.42', '-0.43', '5.37', '25.44', '40.67', '993.95', '614']
['0.00', '0.000000', '0.000000', '-69.42', '-0.43', '5.37', '25.44', '40.67', '993.95', '614']
['0.00', '0.000000', '0.000000', '-69.42', '-0.43', '5.37', '25.44', '40.67', '993.95', '614']
['0.00', '0.000000', '0.000000', '-69.44', '-0.41', '5.37', '25.44', '40.66', '993.90', '615']
['0.00', '0.000000', '0.000000', '-69.44', '-0.41', '5.37', '25.44', '40.66', '993.90', '615']
['0.00', '0.000000', '0.000000', '-69.44', '-0.41', '5.37', '25.44', '40.66', '993.90', '615']
['0.00', '0.000000', '0.000000', '-69.44', '-0.41', '5.37', '25.44', '40.66', '993.90', '616']
['0.00', '0.000000', '0.000000', '-69.44', '-0.41', '5.37', '25.44', '40.66', '993.90', '616']
['0.00', '0.000000', '0.000000', '-69.44', '-0.41', '5.37', '25.44', '40.66', '993.90', '616']
['0.00', '0.000000', '0.000000', '-69.40', '-0.40', '4.47', '25.48', '40.60', '993.97', '617']
['0.00', '0.000000', '0.000000', '-69.40', '-0.40', '4.47', '25.48', '40.60', '993.97', '617']
['0.00', '0.000000', '0.000000', '-69.40', '-0.40', '4.47', '25.48', '40.60', '993.97', '617']
['0.00', '0.000000', '0.000000', '-69.40', '-0.40', '4.47', '25.48', '40.60', '993.97', '617']
['0.00', '0.000000', '0.000000', '-69.40', '-0.40', '4.47', '25.48', '40.60', '993.97', '618']
['0.00', '0.000000', '0.000000', '-69.40', '-0.40', '4.47', '25.48', '40.60', '993.97', '618']
['0.00', '0.000000', '0.000000', '-69.40', '-0.40', '4.47', '25.48', '40.60', '993.97', '618']
['0.00', '0.000000', '0.000000', '-69.40', '-0.40', '4.47', '25.48', '40.60', '993.97', '619']
['0.00', '0.000000', '0.000000', '-69.40', '-0.40', '4.47', '25.48', '40.60', '993.97', '619']
['0.00', '0.000000', '0.000000', '-69.40', '-0.40', '4.47', '25.48', '40.60', '993.97', '619']
['0.00', '0.000000', '0.000000', '-68.00', '0.64', '-0.74', '25.47', '40.51', '993.91', '620']
['0.00', '0.000000', '0.000000', '-68.00', '0.64', '-0.74', '25.47', '40.51', '993.91', '620']
['0.00', '0.000000', '0.000000', '-68.00', '0.64', '-0.74', '25.47', '40.51', '993.91', '620']
['0.00', '0.000000', '0.000000', '-68.00', '0.64', '-0.74', '25.47', '40.51', '993.91', '621']
['0.00', '0.000000', '0.000000', '-68.00', '0.64', '-0.74', '25.47', '40.51', '993.91', '621']
['0.00', '0.000000', '0.000000', '-68.00', '0.64', '-0.74', '25.47', '40.51', '993.91', '621']
['0.00', '0.000000', '0.000000', '-68.00', '0.64', '-0.74', '25.47', '40.51', '993.91', '621']
['0.00', '0.000000', '0.000000', '-63.92', '2.18', '-5.84', '25.20', '40.45', '993.56', '622']
['0.00', '0.000000', '0.000000', '-63.92', '2.18', '-5.84', '25.20', '40.45', '993.56', '622']
['0.00', '0.000000', '0.000000', '-63.92', '2.18', '-5.84', '25.20', '40.45', '993.56', '622']
['0.00', '0.000000', '0.000000', '-63.92', '2.18', '-5.84', '25.20', '40.45', '993.56', '623']
['0.00', '0.000000', '0.000000', '-63.92', '2.18', '-5.84', '25.20', '40.45', '993.56', '623']
['0.00', '0.000000', '0.000000', '-63.92', '2.18', '-5.84', '25.20', '40.45', '993.56', '623']
['0.00', '0.000000', '0.000000', '-63.92', '2.18', '-5.84', '25.20', '40.45', '993.56', '624']
['0.00', '0.000000', '0.000000', '-63.92', '2.18', '-5.84', '25.20', '40.45', '993.56', '624']
['0.00', '0.000000', '0.000000', '-63.92', '2.18', '-5.84', '25.20', '40.45', '993.56', '624']
['0.00', '0.000000', '0.000000', '-61.51', '3.53', '-2.09', '25.44', '40.39', '993.98', '625']
['0.00', '0.000000', '0.000000', '-61.51', '3.53', '-2.09', '25.44', '40.39', '993.98', '625']
['0.00', '0.000000', '0.000000', '-61.51', '3.53', '-2.09', '25.44', '40.39', '993.98', '625']
['0.00', '0.000000', '0.000000', '-61.51', '3.53', '-2.09', '25.44', '40.39', '993.98', '626']
['0.00', '0.000000', '0.000000', '-61.51', '3.53', '-2.09', '25.44', '40.39', '993.98', '626']
['0.00', '0.000000', '0.000000', '-61.51', '3.53', '-2.09', '25.44', '40.39', '993.98', '626']
['0.00', '0.000000', '0.000000', '-61.51', '3.53', '-2.09', '25.44', '40.39', '993.98', '626']
['0.00', '0.000000', '0.000000', '-61.51', '3.53', '-2.09', '25.44', '40.39', '993.98', '627']
['0.00', '0.000000', '0.000000', '-61.51', '3.53', '-2.09', '25.44', '40.39', '993.98', '627']
['0.00', '0.000000', '0.000000', '-61.51', '3.53', '-2.09', '25.44', '40.39', '993.98', '627']
['0.00', '0.000000', '0.000000', '-62.06', '4.00', '-3.27', '25.45', '40.33', '993.90', '628']
['0.00', '0.000000', '0.000000', '-62.06', '4.00', '-3.27', '25.45', '40.33', '993.90', '628']
['0.00', '0.000000', '0.000000', '-62.06', '4.00', '-3.27', '25.45', '40.33', '993.90', '628']
['0.00', '0.000000', '0.000000', '-62.06', '4.00', '-3.27', '25.45', '40.33', '993.90', '629']
['0.00', '0.000000', '0.000000', '-62.06', '4.00', '-3.27', '25.45', '40.33', '993.90', '629']
['0.00', '0.000000', '0.000000', '-62.06', '4.00', '-3.27', '25.45', '40.33', '993.90', '629']
['0.00', '0.000000', '0.000000', '-61.75', '2.94', '-3.56', '25.42', '40.28', '993.86', '630']
['0.00', '0.000000', '0.000000', '-61.75', '2.94', '-3.56', '25.42', '40.28', '993.86', '630']
['0.00', '0.000000', '0.000000', '-61.75', '2.94', '-3.56', '25.42', '40.28', '993.86', '630']
['0.00', '0.000000', '0.000000', '-61.75', '2.94', '-3.56', '25.42', '40.28', '993.86', '630']
['0.00', '0.000000', '0.000000', '-61.75', '2.94', '-3.56', '25.42', '40.28', '993.86', '631']
['0.00', '0.000000', '0.000000', '-61.75', '2.94', '-3.56', '25.42', '40.28', '993.86', '631']
['0.00', '0.000000', '0.000000', '-61.75', '2.94', '-3.56', '25.42', '40.28', '993.86', '631']
['0.00', '0.000000', '0.000000', '-61.75', '2.94', '-3.56', '25.42', '40.28', '993.86', '632']
['0.00', '0.000000', '0.000000', '-61.75', '2.94', '-3.56', '25.42', '40.28', '993.86', '632']
['0.00', '0.000000', '0.000000', '-61.75', '2.94', '-3.56', '25.42', '40.28', '993.86', '632']
['0.00', '0.000000', '0.000000', '-59.69', '6.01', '-1.84', '25.49', '40.27', '993.95', '633']
['0.00', '0.000000', '0.000000', '-59.69', '6.01', '-1.84', '25.49', '40.27', '993.95', '633']
['0.00', '0.000000', '0.000000', '-59.69', '6.01', '-1.84', '25.49', '40.27', '993.95', '633']
['0.00', '0.000000', '0.000000', '-59.69', '6.01', '-1.84', '25.49', '40.27', '993.95', '634']
['0.00', '0.000000', '0.000000', '-59.69', '6.01', '-1.84', '25.49', '40.27', '993.95', '634']
['0.00', '0.000000', '0.000000', '-59.69', '6.01', '-1.84', '25.49', '40.27', '993.95', '634']
['0.00', '0.000000', '0.000000', '-59.69', '6.01', '-1.84', '25.49', '40.27', '993.95', '634']
['0.00', '0.000000', '0.000000', '-60.37', '6.65', '-1.22', '25.49', '40.34', '993.94', '635']
['0.00', '0.000000', '0.000000', '-60.37', '6.65', '-1.22', '25.49', '40.34', '993.94', '635']
['0.00', '0.000000', '0.000000', '-60.37', '6.65', '-1.22', '25.49', '40.34', '993.94', '635']
['0.00', '0.000000', '0.000000', '-60.37', '6.65', '-1.22', '25.49', '40.34', '993.94', '636']
['0.00', '0.000000', '0.000000', '-60.37', '6.65', '-1.22', '25.49', '40.34', '993.94', '636']
['0.00', '0.000000', '0.000000', '-60.37', '6.65', '-1.22', '25.49', '40.34', '993.94', '636']
