['0.00', '0.000000', '0.000000', '-111.76', '8.59', '-0.87', '29.14', '43.34', '993.86', '4912']
['0.00', '0.000000', '0.000000', '-111.76', '8.59', '-0.87', '29.14', '43.34', '993.86', '4912']
['0.00', '0.000000', '0.000000', '-111.76', '8.59', '-0.87', '29.14', '43.34', '993.86', '4913']
['0.00', '0.000000', '0.000000', '-111.76', '8.59', '-0.87', '29.14', '43.34', '993.86', '4913']
['0.00', '0.000000', '0.000000', '-111.76', '8.59', '-0.87', '29.14', '43.34', '993.86', '4913']
['0.00', '0.000000', '0.000000', '-111.77', '8.46', '-1.09', '29.10', '43.48', '993.83', '4914']
['0.00', '0.000000', '0.000000', '-111.77', '8.46', '-1.09', '29.10', '43.48', '993.83', '4914']
['0.00', '0.000000', '0.000000', '-111.77', '8.46', '-1.09', '29.10', '43.48', '993.83', '4914']
['0.00', '0.000000', '0.000000', '-111.77', '8.46', '-1.09', '29.10', '43.48', '993.83', '4915']
['0.00', '0.000000', '0.000000', '-111.77', '8.46', '-1.09', '29.10', '43.48', '993.83', '4915']
['0.00', '0.000000', '0.000000', '-111.77', '8.46', '-1.09', '29.10', '43.48', '993.83', '4915']
['0.00', '0.000000', '0.000000', '-111.63', '8.44', '-1.21', '29.10', '43.48', '993.93', '4916']
['0.00', '0.000000', '0.000000', '-111.63', '8.44', '-1.21', '29.10', '43.48', '993.93', '4916']
['0.00', '0.000000', '0.000000', '-111.63', '8.44', '-1.21', '29.10', '43.48', '993.93', '4916']
['0.00', '0.000000', '0.000000', '-111.63', '8.44', '-1.21', '29.10', '43.48', '993.93', '4916']
['0.00', '0.000000', '0.000000', '-111.63', '8.44', '-1.21', '29.10', '43.48', '993.93', '4917']
['0.00', '0.000000', '0.000000', '-111.63', '8.44', '-1.21', '29.10', '43.48', '993.93', '4917']
['0.00', '0.000000', '0.000000', '-111.63', '8.44', '-1.21', '29.10', '43.48', '993.93', '4917']
['0.00', '0.000000', '0.000000', '-111.63', '8.44', '-1.21', '29.10', '43.48', '993.93', '4918']
['0.00', '0.000000', '0.000000', '-111.63', '8.44', '-1.21', '29.10', '43.48', '993.93', '4918']
['0.00', '0.000000', '0.000000', '-111.63', '8.44', '-1.21', '29.10', '43.48', '993.93', '4918']
['0.00', '0.000000', '0.000000', '-111.57', '8.22', '-1.15', '29.11', '43.28', '993.91', '4919']
