['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.19', '999.54', '1339']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.19', '999.54', '1339']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.19', '999.54', '1339']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.19', '999.54', '1339']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.19', '999.54', '1339']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.19', '999.54', '1339']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.19', '999.54', '1339']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.19', '999.54', '1339']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.19', '999.54', '1339']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.19', '999.54', '1339']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.19', '999.54', '1339']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.19', '999.54', '1339']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.19', '999.54', '1339']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.50', '31.19', '999.54', '1339']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.55', '31.19', '999.63', '1340']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.55', '31.19', '999.63', '1340']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.55', '31.19', '999.63', '1340']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.55', '31.19', '999.63', '1340']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.55', '31.19', '999.63', '1340']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.55', '31.19', '999.63', '1340']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.55', '31.19', '999.63', '1340']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.55', '31.19', '999.63', '1340']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.55', '31.19', '999.63', '1340']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.55', '31.19', '999.63', '1340']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.55', '31.19', '999.63', '1340']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.55', '31.19', '999.63', '1340']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.55', '31.19', '999.63', '1340']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.55', '31.19', '999.63', '1340']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.55', '31.19', '999.63', '1340']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.55', '31.19', '999.63', '1341']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.55', '31.19', '999.63', '1341']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.55', '31.19', '999.63', '1341']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.55', '31.19', '999.63', '1341']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.55', '31.19', '999.63', '1341']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.55', '31.19', '999.63', '1341']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.55', '31.19', '999.63', '1341']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.55', '31.19', '999.63', '1341']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.55', '31.19', '999.63', '1341']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.55', '31.19', '999.63', '1341']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.55', '31.19', '999.63', '1341']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.55', '31.19', '999.63', '1341']
