['0.00', '0.000000', '0.000000', '-27.96', '13.55', '3.03', '27.96', '31.39', '999.81', '14735']
['0.00', '0.000000', '0.000000', '-27.96', '13.55', '3.03', '27.96', '31.39', '999.81', '14735']
['0.00', '0.000000', '0.000000', '-27.96', '13.55', '3.03', '27.96', '31.39', '999.81', '14735']
['0.00', '0.000000', '0.000000', '-27.96', '13.55', '3.03', '27.96', '31.39', '999.81', '14735']
['0.00', '0.000000', '0.000000', '-27.96', '13.55', '3.03', '27.96', '31.39', '999.81', '14735']
['0.00', '0.000000', '0.000000', '-27.96', '13.55', '3.03', '27.96', '31.39', '999.81', '14735']
['0.00', '0.000000', '0.000000', '-27.96', '13.55', '3.03', '27.96', '31.39', '999.81', '14735']
['0.00', '0.000000', '0.000000', '-27.96', '13.55', '3.03', '27.96', '31.39', '999.81', '14736']
['0.00', '0.000000', '0.000000', '-27.96', '13.55', '3.03', '27.96', '31.39', '999.81', '14736']
['0.00', '0.000000', '0.000000', '-27.96', '13.55', '3.03', '27.96', '31.39', '999.81', '14736']
['0.00', '0.000000', '0.000000', '-27.96', '13.55', '3.03', '27.96', '31.39', '999.81', '14736']
['0.00', '0.000000', '0.000000', '-27.96', '13.55', '3.03', '27.96', '31.39', '999.81', '14736']
['0.00', '0.000000', '0.000000', '-27.96', '13.55', '3.03', '27.96', '31.39', '999.81', '14736']
['0.00', '0.000000', '0.000000', '-27.96', '13.55', '3.03', '27.96', '31.39', '999.81', '14736']
['0.00', '0.000000', '0.000000', '-27.96', '13.55', '3.03', '27.96', '31.39', '999.81', '14736']
['0.00', '0.000000', '0.000000', '-27.96', '13.55', '3.03', '27.96', '31.39', '999.81', '14736']
['0.00', '0.000000', '0.000000', '-27.96', '13.55', '3.03', '27.96', '31.39', '999.81', '14736']
['0.00', '0.000000', '0.000000', '-27.96', '13.55', '3.03', '27.96', '31.39', '999.81', '14736']
['0.00', '0.000000', '0.000000', '-27.96', '13.55', '3.03', '27.96', '31.39', '999.81', '14736']
['0.00', '0.000000', '0.000000', '-27.96', '13.55', '3.03', '27.96', '31.39', '999.81', '14736']
['0.00', '0.000000', '0.000000', '-27.96', '13.55', '3.03', '27.96', '31.39', '999.81', '14736']
['0.00', '0.000000', '0.000000', '-27.96', '13.55', '3.03', '27.96', '31.39', '999.81', '14737']
['0.00', '0.000000', '0.000000', '-27.96', '13.55', '3.03', '27.96', '31.39', '999.81', '14737']
['0.00', '0.000000', '0.000000', '-27.96', '13.55', '3.03', '27.96', '31.39', '999.81', '14737']
['0.00', '0.000000', '0.000000', '-27.96', '13.55', '3.03', '27.96', '31.39', '999.81', '14737']
['0.00', '0.000000', '0.000000', '-27.96', '13.55', '3.03', '27.96', '31.39', '999.81', '14737']
['0.00', '0.000000', '0.000000', '-27.96', '13.55', '3.03', '27.96', '31.39', '999.81', '14737']
['0.00', '0.000000', '0.000000', '-27.96', '13.55', '3.03', '27.96', '31.39', '999.81', '14737']
['0.00', '0.000000', '0.000000', '-27.96', '13.55', '3.03', '27.96', '31.39', '999.81', '14737']
['0.00', '0.000000', '0.000000', '-27.96', '13.55', '3.03', '27.96', '31.39', '999.81', '14737']
['0.00', '0.000000', '0.000000', '-27.96', '13.55', '3.03', '27.96', '31.39', '999.81', '14737']
['0.00', '0.000000', '0.000000', '-27.96', '13.55', '3.03', '27.96', '31.39', '999.81', '14737']
['0.00', '0.000000', '0.000000', '-27.96', '13.55', '3.03', '27.96', '31.39', '999.81', '14737']
['0.00', '0.000000', '0.000000', '-27.96', '13.55', '3.03', '27.96', '31.39', '999.81', '14737']
['0.00', '0.000000', '0.000000', '-27.96', '13.55', '3.03', '27.96', '31.39', '999.81', '14737']
['0.00', '0.000000', '0.000000', '-28.19', '13.43', '2.99', '27.69', '31.32', '999.42', '14738']
['0.00', '0.000000', '0.000000', '-28.19', '13.43', '2.99', '27.69', '31.32', '999.42', '14738']
['0.00', '0.000000', '0.000000', '-28.19', '13.43', '2.99', '27.69', '31.32', '999.42', '14738']
['0.00', '0.000000', '0.000000', '-28.19', '13.43', '2.99', '27.69', '31.32', '999.42', '14738']
['0.00', '0.000000', '0.000000', '-28.19', '13.43', '2.99', '27.69', '31.32', '999.42', '14738']
['0.00', '0.000000', '0.000000', '-28.19', '13.43', '2.99', '27.69', '31.32', '999.42', '14738']
['0.00', '0.000000', '0.000000', '-28.19', '13.43', '2.99', '27.69', '31.32', '999.42', '14738']
['0.00', '0.000000', '0.000000', '-28.19', '13.43', '2.99', '27.69', '31.32', '999.42', '14738']
['0.00', '0.000000', '0.000000', '-28.19', '13.43', '2.99', '27.69', '31.32', '999.42', '14738']
['0.00', '0.000000', '0.000000', '-28.19', '13.43', '2.99', '27.69', '31.32', '999.42', '14738']
['0.00', '0.000000', '0.000000', '-28.19', '13.43', '2.99', '27.69', '31.32', '999.42', '14738']
['0.00', '0.000000', '0.000000', '-28.19', '13.43', '2.99', '27.69', '31.32', '999.42', '14738']
['0.00', '0.000000', '0.000000', '-28.19', '13.43', '2.99', '27.69', '31.32', '999.42', '14738']
['0.00', '0.000000', '0.000000', '-28.19', '13.43', '2.99', '27.69', '31.32', '999.42', '14738']
['0.00', '0.000000', '0.000000', '-28.19', '13.43', '2.99', '27.69', '31.32', '999.42', '14738']
['0.00', '0.000000', '0.000000', '-28.19', '13.43', '2.99', '27.69', '31.32', '999.42', '14739']
['0.00', '0.000000', '0.000000', '-28.19', '13.43', '2.99', '27.69', '31.32', '999.42', '14739']
