['0.00', '0.000000', '0.000000', '73.06', '69.64', '70.86', '29.21', '27.21', '999.98', '28918']
['0.00', '0.000000', '0.000000', '73.06', '69.64', '70.86', '29.21', '27.21', '999.98', '28919']
['0.00', '0.000000', '0.000000', '73.06', '69.64', '70.86', '29.21', '27.21', '999.98', '28919']
['0.00', '0.000000', '0.000000', '73.06', '69.64', '70.86', '29.21', '27.21', '999.98', '28919']
['0.00', '0.000000', '0.000000', '73.06', '69.64', '70.86', '29.21', '27.21', '999.98', '28919']
['0.00', '0.000000', '0.000000', '73.06', '69.64', '70.86', '29.21', '27.21', '999.98', '28919']
['0.00', '0.000000', '0.000000', '73.06', '69.64', '70.86', '29.21', '27.21', '999.98', '28919']
['0.00', '0.000000', '0.000000', '73.06', '69.64', '70.86', '29.21', '27.21', '999.98', '28919']
['0.00', '0.000000', '0.000000', '73.06', '69.64', '70.86', '29.21', '27.21', '999.98', '28919']
['0.00', '0.000000', '0.000000', '73.06', '69.64', '70.86', '29.21', '27.21', '999.98', '28919']
['0.00', '0.000000', '0.000000', '73.06', '69.64', '70.86', '29.21', '27.21', '999.98', '28919']
['0.00', '0.000000', '0.000000', '73.06', '69.64', '70.86', '29.21', '27.21', '999.98', '28919']
['0.00', '0.000000', '0.000000', '73.06', '69.64', '70.86', '29.21', '27.21', '999.98', '28919']
['0.00', '0.000000', '0.000000', '73.06', '69.64', '70.86', '29.21', '27.21', '999.98', '28919']
['0.00', '0.000000', '0.000000', '73.06', '69.64', '70.86', '29.21', '27.21', '999.98', '28919']
['0.00', '0.000000', '0.000000', '73.06', '69.64', '70.86', '29.21', '27.21', '999.98', '28920']
['0.00', '0.000000', '0.000000', '73.06', '69.64', '70.86', '29.21', '27.21', '999.98', '28920']
['0.00', '0.000000', '0.000000', '73.06', '69.64', '70.86', '29.21', '27.21', '999.98', '28920']
['0.00', '0.000000', '0.000000', '73.06', '69.64', '70.86', '29.21', '27.21', '999.98', '28920']
['0.00', '0.000000', '0.000000', '73.06', '69.64', '70.86', '29.21', '27.21', '999.98', '28920']
['0.00', '0.000000', '0.000000', '73.06', '69.64', '70.86', '29.21', '27.21', '999.98', '28920']
['0.00', '0.000000', '0.000000', '73.06', '69.64', '70.86', '29.21', '27.21', '999.98', '28920']
['0.00', '0.000000', '0.000000', '73.06', '69.64', '70.86', '29.21', '27.21', '999.98', '28920']
['0.00', '0.000000', '0.000000', '73.06', '69.64', '70.86', '29.21', '27.21', '999.98', '28920']
['0.00', '0.000000', '0.000000', '73.06', '69.64', '70.86', '29.21', '27.21', '999.98', '28920']
['0.00', '0.000000', '0.000000', '73.06', '69.64', '70.86', '29.21', '27.21', '999.98', '28920']
['0.00', '0.000000', '0.000000', '73.06', '69.64', '70.86', '29.21', '27.21', '999.98', '28920']
['0.00', '0.000000', '0.000000', '73.06', '69.64', '70.86', '29.21', '27.21', '999.98', '28920']
['0.00', '0.000000', '0.000000', '73.06', '69.64', '70.86', '29.21', '27.21', '999.98', '28920']
['0.00', '0.000000', '0.000000', '73.06', '69.64', '70.86', '29.21', '27.21', '999.98', '28920']
['0.00', '0.000000', '0.000000', '65.77', '70.97', '68.89', '29.25', '27.24', '1000.05', '28921']
['0.00', '0.000000', '0.000000', '65.77', '70.97', '68.89', '29.25', '27.24', '1000.05', '28921']
['0.00', '0.000000', '0.000000', '65.77', '70.97', '68.89', '29.25', '27.24', '1000.05', '28921']
['0.00', '0.000000', '0.000000', '65.77', '70.97', '68.89', '29.25', '27.24', '1000.05', '28921']
['0.00', '0.000000', '0.000000', '65.77', '70.97', '68.89', '29.25', '27.24', '1000.05', '28921']
['0.00', '0.000000', '0.000000', '65.77', '70.97', '68.89', '29.25', '27.24', '1000.05', '28921']
['0.00', '0.000000', '0.000000', '65.77', '70.97', '68.89', '29.25', '27.24', '1000.05', '28921']
['0.00', '0.000000', '0.000000', '65.77', '70.97', '68.89', '29.25', '27.24', '1000.05', '28921']
['0.00', '0.000000', '0.000000', '65.77', '70.97', '68.89', '29.25', '27.24', '1000.05', '28921']
['0.00', '0.000000', '0.000000', '65.77', '70.97', '68.89', '29.25', '27.24', '1000.05', '28921']
['0.00', '0.000000', '0.000000', '65.77', '70.97', '68.89', '29.25', '27.24', '1000.05', '28921']
['0.00', '0.000000', '0.000000', '65.77', '70.97', '68.89', '29.25', '27.24', '1000.05', '28921']
['0.00', '0.000000', '0.000000', '65.77', '70.97', '68.89', '29.25', '27.24', '1000.05', '28921']
['0.00', '0.000000', '0.000000', '65.77', '70.97', '68.89', '29.25', '27.24', '1000.05', '28921']
['0.00', '0.000000', '0.000000', '65.77', '70.97', '68.89', '29.25', '27.24', '1000.05', '28921']
['0.00', '0.000000', '0.000000', '65.77', '70.97', '68.89', '29.25', '27.24', '1000.05', '28922']
['0.00', '0.000000', '0.000000', '65.77', '70.97', '68.89', '29.25', '27.24', '1000.05', '28922']
['0.00', '0.000000', '0.000000', '65.77', '70.97', '68.89', '29.25', '27.24', '1000.05', '28922']
['0.00', '0.000000', '0.000000', '65.77', '70.97', '68.89', '29.25', '27.24', '1000.05', '28922']
['0.00', '0.000000', '0.000000', '65.77', '70.97', '68.89', '29.25', '27.24', '1000.05', '28922']
['0.00', '0.000000', '0.000000', '65.77', '70.97', '68.89', '29.25', '27.24', '1000.05', '28922']
['0.00', '0.000000', '0.000000', '65.77', '70.97', '68.89', '29.25', '27.24', '1000.05', '28922']
['0.00', '0.000000', '0.000000', '65.77', '70.97', '68.89', '29.25', '27.24', '1000.05', '28922']
['0.00', '0.000000', '0.000000', '65.77', '70.97', '68.89', '29.25', '27.24', '1000.05', '28922']
['0.00', '0.000000', '0.000000', '65.77', '70.97', '68.89', '29.25', '27.24', '1000.05', '28922']
['0.00', '0.000000', '0.000000', '65.77', '70.97', '68.89', '29.25', '27.24', '1000.05', '28922']
['0.00', '0.000000', '0.000000', '65.77', '70.97', '68.89', '29.25', '27.24', '1000.05', '28922']
['0.00', '0.000000', '0.000000', '65.77', '70.97', '68.89', '29.25', '27.24', '1000.05', '28922']
['0.00', '0.000000', '0.000000', '65.77', '70.97', '68.89', '29.25', '27.24', '1000.05', '28922']
['0.00', '0.000000', '0.000000', '65.77', '70.97', '68.89', '29.25', '27.24', '1000.05', '28922']
['0.00', '0.000000', '0.000000', '65.77', '70.97', '68.89', '29.25', '27.24', '1000.05', '28922']
['0.00', '0.000000', '0.000000', '65.77', '70.97', '68.89', '29.25', '27.24', '1000.05', '28922']
['0.00', '0.000000', '0.000000', '63.93', '71.19', '67.90', '29.25', '27.31', '1000.06', '28923']
['0.00', '0.000000', '0.000000', '63.93', '71.19', '67.90', '29.25', '27.31', '1000.06', '28923']
['0.00', '0.000000', '0.000000', '63.93', '71.19', '67.90', '29.25', '27.31', '1000.06', '28923']
['0.00', '0.000000', '0.000000', '63.93', '71.19', '67.90', '29.25', '27.31', '1000.06', '28923']
['0.00', '0.000000', '0.000000', '63.93', '71.19', '67.90', '29.25', '27.31', '1000.06', '28923']
['0.00', '0.000000', '0.000000', '63.93', '71.19', '67.90', '29.25', '27.31', '1000.06', '28923']
['0.00', '0.000000', '0.000000', '63.93', '71.19', '67.90', '29.25', '27.31', '1000.06', '28923']
['0.00', '0.000000', '0.000000', '63.93', '71.19', '67.90', '29.25', '27.31', '1000.06', '28923']
['0.00', '0.000000', '0.000000', '63.93', '71.19', '67.90', '29.25', '27.31', '1000.06', '28923']
['0.00', '0.000000', '0.000000', '63.93', '71.19', '67.90', '29.25', '27.31', '1000.06', '28923']
['0.00', '0.000000', '0.000000', '63.93', '71.19', '67.90', '29.25', '27.31', '1000.06', '28923']
['0.00', '0.000000', '0.000000', '63.93', '71.19', '67.90', '29.25', '27.31', '1000.06', '28923']
['0.00', '0.000000', '0.000000', '63.93', '71.19', '67.90', '29.25', '27.31', '1000.06', '28923']
['0.00', '0.000000', '0.000000', '63.93', '71.19', '67.90', '29.25', '27.31', '1000.06', '28923']
['0.00', '0.000000', '0.000000', '63.93', '71.19', '67.90', '29.25', '27.31', '1000.06', '28924']
['0.00', '0.000000', '0.000000', '63.93', '71.19', '67.90', '29.25', '27.31', '1000.06', '28924']
['0.00', '0.000000', '0.000000', '63.93', '71.19', '67.90', '29.25', '27.31', '1000.06', '28924']
['0.00', '0.000000', '0.000000', '63.93', '71.19', '67.90', '29.25', '27.31', '1000.06', '28924']
['0.00', '0.000000', '0.000000', '63.93', '71.19', '67.90', '29.25', '27.31', '1000.06', '28924']
['0.00', '0.000000', '0.000000', '63.93', '71.19', '67.90', '29.25', '27.31', '1000.06', '28924']
['0.00', '0.000000', '0.000000', '63.93', '71.19', '67.90', '29.25', '27.31', '1000.06', '28924']
['0.00', '0.000000', '0.000000', '63.93', '71.19', '67.90', '29.25', '27.31', '1000.06', '28924']
['0.00', '0.000000', '0.000000', '63.93', '71.19', '67.90', '29.25', '27.31', '1000.06', '28924']
['0.00', '0.000000', '0.000000', '63.93', '71.19', '67.90', '29.25', '27.31', '1000.06', '28924']
['0.00', '0.000000', '0.000000', '63.93', '71.19', '67.90', '29.25', '27.31', '1000.06', '28924']
['0.00', '0.000000', '0.000000', '63.93', '71.19', '67.90', '29.25', '27.31', '1000.06', '28924']
['0.00', '0.000000', '0.000000', '63.93', '71.19', '67.90', '29.25', '27.31', '1000.06', '28924']
['0.00', '0.000000', '0.000000', '63.93', '71.19', '67.90', '29.25', '27.31', '1000.06', '28924']
['0.00', '0.000000', '0.000000', '63.93', '71.19', '67.90', '29.25', '27.31', '1000.06', '28924']
['0.00', '0.000000', '0.000000', '63.93', '71.19', '67.90', '29.25', '27.31', '1000.06', '28924']
['0.00', '0.000000', '0.000000', '63.93', '71.19', '67.90', '29.25', '27.31', '1000.06', '28925']
['0.00', '0.000000', '0.000000', '63.93', '71.19', '67.90', '29.25', '27.31', '1000.06', '28925']
['0.00', '0.000000', '0.000000', '63.93', '71.19', '67.90', '29.25', '27.31', '1000.06', '28925']
['0.00', '0.000000', '0.000000', '63.93', '71.19', '67.90', '29.25', '27.31', '1000.06', '28925']
['0.00', '0.000000', '0.000000', '63.93', '71.19', '67.90', '29.25', '27.31', '1000.06', '28925']
['0.00', '0.000000', '0.000000', '63.93', '71.19', '67.90', '29.25', '27.31', '1000.06', '28925']
['0.00', '0.000000', '0.000000', '63.93', '71.19', '67.90', '29.25', '27.31', '1000.06', '28925']
['0.00', '0.000000', '0.000000', '63.93', '71.19', '67.90', '29.25', '27.31', '1000.06', '28925']
['0.00', '0.000000', '0.000000', '63.93', '71.19', '67.90', '29.25', '27.31', '1000.06', '28925']
['0.00', '0.000000', '0.000000', '63.93', '71.19', '67.90', '29.25', '27.31', '1000.06', '28925']
['0.00', '0.000000', '0.000000', '63.93', '71.19', '67.90', '29.25', '27.31', '1000.06', '28925']
['0.00', '0.000000', '0.000000', '63.93', '71.19', '67.90', '29.25', '27.31', '1000.06', '28925']
['0.00', '0.000000', '0.000000', '63.93', '71.19', '67.90', '29.25', '27.31', '1000.06', '28925']
['0.00', '0.000000', '0.000000', '63.93', '71.19', '67.90', '29.25', '27.31', '1000.06', '28925']
['0.00', '0.000000', '0.000000', '62.79', '71.75', '66.76', '29.25', '27.33', '1000.03', '28926']
['0.00', '0.000000', '0.000000', '62.79', '71.75', '66.76', '29.25', '27.33', '1000.03', '28926']
['0.00', '0.000000', '0.000000', '62.79', '71.75', '66.76', '29.25', '27.33', '1000.03', '28926']
['0.00', '0.000000', '0.000000', '62.79', '71.75', '66.76', '29.25', '27.33', '1000.03', '28926']
['0.00', '0.000000', '0.000000', '62.79', '71.75', '66.76', '29.25', '27.33', '1000.03', '28926']
['0.00', '0.000000', '0.000000', '62.79', '71.75', '66.76', '29.25', '27.33', '1000.03', '28926']
['0.00', '0.000000', '0.000000', '62.79', '71.75', '66.76', '29.25', '27.33', '1000.03', '28926']
['0.00', '0.000000', '0.000000', '62.79', '71.75', '66.76', '29.25', '27.33', '1000.03', '28926']
['0.00', '0.000000', '0.000000', '62.79', '71.75', '66.76', '29.25', '27.33', '1000.03', '28926']
['0.00', '0.000000', '0.000000', '62.79', '71.75', '66.76', '29.25', '27.33', '1000.03', '28926']
['0.00', '0.000000', '0.000000', '62.79', '71.75', '66.76', '29.25', '27.33', '1000.03', '28926']
