['0.00', '54.678505', '25.263138', '75.98', '26.00', '37.25', '984.21', '7343']
['0.00', '54.678505', '25.263138', '75.98', '26.00', '37.25', '984.21', '7344']
['0.00', '54.678505', '25.263138', '75.98', '25.78', '37.26', '983.83', '7345']
['0.00', '54.678505', '25.263138', '75.98', '25.78', '37.26', '983.83', '7347']
['0.00', '54.678505', '25.263138', '75.98', '25.78', '37.26', '983.83', '7348']
['0.00', '54.678505', '25.263138', '75.98', '25.78', '37.26', '983.83', '7350']
['0.00', '54.678505', '25.263138', '75.98', '25.81', '37.27', '983.86', '7351']
['0.00', '54.678505', '25.263138', '75.98', '25.81', '37.27', '983.86', '7353']
['0.00', '54.678505', '25.263138', '75.98', '25.81', '37.27', '983.86', '7354']
['0.00', '54.678505', '25.263138', '75.98', '25.81', '37.27', '983.86', '7356']
['0.00', '54.678505', '25.263138', '75.98', '25.97', '37.26', '984.16', '7357']
['0.00', '54.678505', '25.263138', '75.98', '25.97', '37.26', '984.16', '7358']
['0.00', '54.678505', '25.263138', '75.98', '25.97', '37.26', '984.16', '7360']
['0.00', '54.678505', '25.263138', '75.98', '25.97', '37.26', '984.16', '7362']
['0.00', '54.678505', '25.263138', '75.98', '25.80', '37.26', '983.86', '7363']
['0.00', '54.678505', '25.263138', '75.98', '25.80', '37.26', '983.86', '7364']
['0.00', '54.678505', '25.263138', '75.98', '25.80', '37.26', '983.86', '7366']
['0.00', '54.678505', '25.263138', '75.98', '25.80', '37.26', '983.86', '7368']
['0.00', '54.678505', '25.263138', '75.98', '26.02', '37.24', '984.25', '7369']
['0.00', '54.678505', '25.263138', '75.98', '26.02', '37.24', '984.25', '7370']
['0.00', '54.678505', '25.263138', '75.98', '26.02', '37.24', '984.25', '7372']
['0.00', '54.678505', '25.263138', '75.98', '26.02', '37.24', '984.25', '7373']
['0.00', '54.678505', '25.263138', '75.98', '25.83', '37.24', '983.92', '7375']
['0.00', '54.678505', '25.263138', '75.98', '25.83', '37.24', '983.92', '7376']
['0.00', '54.678505', '25.263138', '75.98', '25.83', '37.24', '983.92', '7377']
['0.00', '54.678505', '25.263138', '75.98', '25.83', '37.24', '983.92', '7379']
['0.00', '54.678505', '25.263138', '75.98', '25.83', '37.24', '983.92', '7380']
['0.00', '54.678505', '25.263138', '75.98', '25.78', '37.23', '983.87', '7382']
['0.00', '54.678505', '25.263138', '75.98', '25.78', '37.23', '983.87', '7383']
['0.00', '54.678505', '25.263138', '75.98', '25.78', '37.23', '983.87', '7384']
['0.00', '54.678505', '25.263138', '75.98', '25.78', '37.23', '983.87', '7386']
['0.00', '54.678505', '25.263138', '75.98', '25.99', '37.23', '984.22', '7387']
['0.00', '54.678505', '25.263138', '75.98', '25.99', '37.23', '984.22', '7389']
['0.00', '54.678505', '25.263138', '75.98', '25.99', '37.23', '984.22', '7390']
['0.00', '54.678505', '25.263138', '75.98', '25.99', '37.23', '984.22', '7392']
['0.00', '54.678505', '25.263138', '75.98', '25.81', '37.23', '983.86', '7393']
['0.00', '54.678505', '25.263138', '75.98', '25.81', '37.23', '983.86', '7395']
['0.00', '54.678505', '25.263138', '75.98', '25.81', '37.23', '983.86', '7396']
['0.00', '54.678505', '25.263138', '75.98', '25.81', '37.23', '983.86', '7397']
['0.00', '54.678505', '25.263138', '75.98', '25.83', '37.22', '983.91', '7399']
['0.00', '54.678505', '25.263138', '75.98', '25.83', '37.22', '983.91', '7400']
['0.00', '54.678505', '25.263138', '75.98', '25.83', '37.22', '983.91', '7402']
['0.00', '54.678505', '25.263138', '75.98', '25.83', '37.22', '983.91', '7403']
['0.00', '54.678505', '25.263138', '75.98', '25.91', '37.22', '984.02', '7405']
['0.00', '54.678505', '25.263138', '75.98', '25.91', '37.22', '984.02', '7406']
['0.00', '54.678505', '25.263138', '75.98', '25.91', '37.22', '984.02', '7408']
['0.00', '54.678505', '25.263138', '75.98', '25.91', '37.22', '984.02', '7409']
